*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
35955.056461	5.0293e+07	6.91646e+07	1.19792e+08	1.1998e+08	146984    	663334    	69455.1   	72485.8   	107777    
36048.689418	5.03318e+07	6.92591e+07	1.2008e+08	1.20269e+08	147155    	665593    	69569.3   	72599.7   	107952    
36142.322375	5.03691e+07	6.93517e+07	1.20368e+08	1.20558e+08	147323    	667873    	69682.8   	72712.7   	108126    
36235.955331	5.04065e+07	6.94442e+07	1.20656e+08	1.20846e+08	147491    	670152    	69796.3   	72825.7   	108299    
36329.588288	5.04438e+07	6.95368e+07	1.20944e+08	1.21134e+08	147659    	672432    	69909.8   	72938.7   	108472    
36423.221245	5.04811e+07	6.96293e+07	1.21232e+08	1.21422e+08	147827    	674711    	70023.2   	73051.8   	108646    
36516.854202	5.05184e+07	6.97219e+07	1.2152e+08	1.21711e+08	147996    	676990    	70136.7   	73164.8   	108819    
36610.487159	5.05557e+07	6.98144e+07	1.21808e+08	1.21999e+08	148164    	679270    	70250.2   	73277.8   	108993    
36704.120116	5.05931e+07	6.9907e+07	1.22096e+08	1.22287e+08	148332    	681549    	70363.6   	73390.8   	109166    
36797.753073	5.06304e+07	6.99996e+07	1.22384e+08	1.22575e+08	148500    	683829    	70477.1   	73503.8   	109339    
36891.386030	5.06677e+07	7.00921e+07	1.22672e+08	1.22864e+08	148668    	686108    	70590.6   	73616.8   	109513    
36985.018987	5.0705e+07	7.01847e+07	1.2296e+08	1.23152e+08	148837    	688388    	70704     	73729.8   	109686    
37078.651944	5.07424e+07	7.02772e+07	1.23248e+08	1.2344e+08	149005    	690667    	70817.5   	73842.8   	109860    
37172.284901	5.07797e+07	7.03698e+07	1.23536e+08	1.23728e+08	149173    	692947    	70931     	73955.9   	110033    
37265.917858	5.0817e+07	7.04623e+07	1.23824e+08	1.24017e+08	149341    	695226    	71044.4   	74068.9   	110206    
37359.550815	5.08543e+07	7.05549e+07	1.24112e+08	1.24305e+08	149509    	697505    	71157.9   	74181.9   	110380    
37453.183772	5.08916e+07	7.06474e+07	1.244e+08 	1.24593e+08	149677    	699785    	71271.4   	74294.9   	110553    
37546.816728	5.0929e+07	7.074e+07 	1.24688e+08	1.24882e+08	149846    	702064    	71384.8   	74407.9   	110727    
37640.449685	5.09663e+07	7.08325e+07	1.24976e+08	1.2517e+08	150014    	704344    	71498.3   	74520.9   	110900    
37734.082642	5.10036e+07	7.09251e+07	1.25264e+08	1.25458e+08	150182    	706623    	71611.8   	74633.9   	111073    
37827.715599	5.10409e+07	7.10176e+07	1.25552e+08	1.25746e+08	150350    	708903    	71725.3   	74746.9   	111247    
37921.348556	5.10782e+07	7.11102e+07	1.2584e+08	1.26035e+08	150518    	711182    	71838.7   	74860     	111420    
38014.981513	5.11151e+07	7.12021e+07	1.26127e+08	1.26323e+08	150686    	713468    	71951.9   	74972.7   	111593    
38108.614470	5.11497e+07	7.12909e+07	1.26414e+08	1.26609e+08	150849    	715786    	72063.8   	75084     	111764    
38202.247427	5.11842e+07	7.13797e+07	1.267e+08 	1.26896e+08	151012    	718105    	72175.6   	75195.3   	111935    
38295.880384	5.12187e+07	7.14685e+07	1.26987e+08	1.27183e+08	151175    	720424    	72287.4   	75306.6   	112106    
38389.513341	5.12533e+07	7.15573e+07	1.27273e+08	1.2747e+08	151337    	722742    	72399.3   	75417.9   	112277    
38483.146298	5.12878e+07	7.16461e+07	1.2756e+08	1.27757e+08	151500    	725061    	72511.1   	75529.1   	112448    
38576.779255	5.13223e+07	7.17349e+07	1.27847e+08	1.28043e+08	151663    	727380    	72622.9   	75640.4   	112619    
38670.412212	5.13569e+07	7.18237e+07	1.28133e+08	1.2833e+08	151826    	729699    	72734.8   	75751.7   	112790    
38764.045169	5.13914e+07	7.19125e+07	1.2842e+08	1.28617e+08	151989    	732017    	72846.6   	75863     	112961    
38857.678125	5.14259e+07	7.20013e+07	1.28706e+08	1.28904e+08	152152    	734336    	72958.4   	75974.3   	113132    
38951.311082	5.14605e+07	7.20901e+07	1.28993e+08	1.29191e+08	152315    	736655    	73070.3   	76085.6   	113303    
39044.944039	5.1495e+07	7.21789e+07	1.29279e+08	1.29477e+08	152478    	738973    	73182.1   	76196.9   	113474    
39138.576996	5.15295e+07	7.22677e+07	1.29566e+08	1.29764e+08	152641    	741292    	73293.9   	76308.2   	113645    
39232.209953	5.15641e+07	7.23565e+07	1.29852e+08	1.30051e+08	152804    	743611    	73405.8   	76419.5   	113816    
39325.842910	5.15986e+07	7.24453e+07	1.30139e+08	1.30338e+08	152967    	745929    	73517.6   	76530.8   	113987    
39419.475867	5.16332e+07	7.25341e+07	1.30425e+08	1.30625e+08	153130    	748248    	73629.4   	76642     	114157    
39513.108824	5.16677e+07	7.26229e+07	1.30712e+08	1.30912e+08	153293    	750567    	73741.3   	76753.3   	114328    
39606.741781	5.17022e+07	7.27117e+07	1.30998e+08	1.31198e+08	153455    	752885    	73853.1   	76864.6   	114499    
39700.374738	5.17368e+07	7.28005e+07	1.31285e+08	1.31485e+08	153618    	755204    	73965     	76975.9   	114670    
39794.007695	5.17713e+07	7.28893e+07	1.31571e+08	1.31772e+08	153781    	757523    	74076.8   	77087.2   	114841    
39887.640652	5.18058e+07	7.29781e+07	1.31858e+08	1.32059e+08	153944    	759842    	74188.6   	77198.5   	115012    
39981.273609	5.18404e+07	7.30669e+07	1.32145e+08	1.32346e+08	154107    	762160    	74300.5   	77309.8   	115183    
40074.906566	5.18729e+07	7.31529e+07	1.3243e+08	1.32631e+08	154266    	764509    	74411     	77419.8   	115352    
40168.539522	5.1905e+07	7.32382e+07	1.32715e+08	1.32917e+08	154424    	766866    	74521.3   	77529.5   	115521    
40262.172479	5.1937e+07	7.33236e+07	1.33e+08  	1.33202e+08	154582    	769223    	74631.5   	77639.1   	115690    
40355.805436	5.1969e+07	7.34089e+07	1.33286e+08	1.33488e+08	154741    	771580    	74741.8   	77748.8   	115858    
40449.438393	5.20011e+07	7.34943e+07	1.33571e+08	1.33773e+08	154899    	773936    	74852     	77858.5   	116027    
40543.071350	5.20331e+07	7.35796e+07	1.33856e+08	1.34058e+08	155057    	776293    	74962.3   	77968.2   	116196    
40636.704307	5.20652e+07	7.3665e+07	1.34141e+08	1.34344e+08	155215    	778650    	75072.5   	78077.8   	116364    
40730.337264	5.20972e+07	7.37503e+07	1.34426e+08	1.34629e+08	155373    	781006    	75182.8   	78187.5   	116533    
40823.970221	5.21293e+07	7.38356e+07	1.34711e+08	1.34915e+08	155531    	783363    	75293.1   	78297.2   	116701    
40917.603178	5.21613e+07	7.3921e+07	1.34997e+08	1.352e+08 	155689    	785720    	75403.3   	78406.8   	116870    
41011.236135	5.21934e+07	7.40063e+07	1.35282e+08	1.35486e+08	155847    	788077    	75513.6   	78516.5   	117039    
41104.869092	5.22254e+07	7.40917e+07	1.35567e+08	1.35771e+08	156005    	790433    	75623.8   	78626.2   	117207    
41198.502049	5.22575e+07	7.4177e+07	1.35852e+08	1.36057e+08	156163    	792790    	75734.1   	78735.9   	117376    
41292.135006	5.22895e+07	7.42623e+07	1.36137e+08	1.36342e+08	156321    	795147    	75844.3   	78845.5   	117545    
41385.767963	5.23216e+07	7.43477e+07	1.36423e+08	1.36627e+08	156480    	797504    	75954.6   	78955.2   	117713    
41479.400919	5.23536e+07	7.4433e+07	1.36708e+08	1.36913e+08	156638    	799860    	76064.8   	79064.9   	117882    
41573.033876	5.23856e+07	7.45184e+07	1.36993e+08	1.37198e+08	156796    	802217    	76175.1   	79174.6   	118051    
41666.666833	5.24177e+07	7.46037e+07	1.37278e+08	1.37484e+08	156954    	804574    	76285.3   	79284.2   	118219    
41760.299790	5.24497e+07	7.4689e+07	1.37563e+08	1.37769e+08	157112    	806931    	76395.6   	79393.9   	118388    
41853.932747	5.24818e+07	7.47744e+07	1.37848e+08	1.38055e+08	157270    	809287    	76505.8   	79503.6   	118557    
41947.565704	5.25138e+07	7.48597e+07	1.38134e+08	1.3834e+08	157428    	811644    	76616.1   	79613.3   	118725    
42041.198661	5.25449e+07	7.49437e+07	1.38418e+08	1.38625e+08	157584    	814017    	76725.7   	79722.3   	118893    
42134.831618	5.25747e+07	7.50258e+07	1.38702e+08	1.38909e+08	157738    	816412    	76834.4   	79830.4   	119059    
42228.464575	5.26045e+07	7.5108e+07	1.38986e+08	1.39193e+08	157892    	818806    	76943.1   	79938.5   	119226    
42322.097532	5.26343e+07	7.51901e+07	1.3927e+08	1.39477e+08	158045    	821200    	77051.8   	80046.7   	119392    
42415.730489	5.26641e+07	7.52723e+07	1.39554e+08	1.39761e+08	158199    	823595    	77160.6   	80154.8   	119559    
42509.363446	5.26939e+07	7.53544e+07	1.39838e+08	1.40046e+08	158353    	825989    	77269.3   	80263     	119725    
42602.996403	5.27238e+07	7.54366e+07	1.40122e+08	1.4033e+08	158506    	828384    	77378     	80371.1   	119892    
42696.629360	5.27536e+07	7.55187e+07	1.40406e+08	1.40614e+08	158660    	830778    	77486.7   	80479.3   	120058    
42790.262316	5.27834e+07	7.56009e+07	1.40689e+08	1.40898e+08	158813    	833172    	77595.4   	80587.4   	120225    
42883.895273	5.28132e+07	7.5683e+07	1.40973e+08	1.41182e+08	158967    	835567    	77704.2   	80695.6   	120391    
42977.528230	5.2843e+07	7.57652e+07	1.41257e+08	1.41466e+08	159121    	837961    	77812.9   	80803.7   	120558    
43071.161187	5.28728e+07	7.58473e+07	1.41541e+08	1.41751e+08	159274    	840356    	77921.6   	80911.9   	120724    
43164.794144	5.29026e+07	7.59295e+07	1.41825e+08	1.42035e+08	159428    	842750    	78030.3   	81020     	120891    
43258.427101	5.29324e+07	7.60116e+07	1.42109e+08	1.42319e+08	159582    	845144    	78139     	81128.2   	121057    
43352.060058	5.29622e+07	7.60938e+07	1.42393e+08	1.42603e+08	159735    	847539    	78247.8   	81236.3   	121224    
43445.693015	5.29921e+07	7.61759e+07	1.42677e+08	1.42887e+08	159889    	849933    	78356.5   	81344.5   	121390    
43539.325972	5.30219e+07	7.62581e+07	1.42961e+08	1.43171e+08	160043    	852328    	78465.2   	81452.6   	121557    
43632.958929	5.30517e+07	7.63402e+07	1.43245e+08	1.43455e+08	160196    	854722    	78573.9   	81560.8   	121723    
43726.591886	5.30815e+07	7.64224e+07	1.43529e+08	1.4374e+08	160350    	857116    	78682.6   	81668.9   	121890    
