*F(0)/B(1)       tel     strip     Intercepts          Slope 
         1         9        22      -0.510072     0.00681537
         1         9        23       -0.60781     0.00695492
	 1         9        24      -0.636722     0.00680493
         1         9        25      -0.573479     0.00689298
         1         9        26      -0.737948     0.00679273
         1         9        27      -0.519712     0.00694115
         1         9        28      -0.508727     0.00683164
	 1         9        29      -0.587551     0.00688188
         1         9        30      -0.478925     0.00685303
         1         9        31        -0.6432     0.00692331
         1        10         0      -0.756818     0.00697429
         1        10         1      -0.260724     0.00696809
         1        10         2      -0.502907     0.00703547
         1        10         3      -0.304943     0.00686588
         1        10         4      -0.472844     0.00702816
         1        10         5      -0.234256     0.00691303
         1        10         6      -0.599439     0.00703697
         1        10         7      -0.335373     0.00688745
         1        10         8      -0.607058     0.00700765
         1        10         9       -0.51223     0.00686535
         1        10        10      -0.651956     0.00702831
         1        10        11       -0.52202     0.00686115
         1        10        12      -0.616088     0.00705322
         1        10        13       -0.28557     0.00689982
         1        10        14      -0.875834     0.00698867
         1        10        15      -0.366858     0.00687766
         1        10        16      -0.465983     0.00702926
         1        10        17      -0.485828     0.00687905
         1        10        18      -0.701849     0.00696027
         1        10        19      -0.420219     0.00688826
         1        10        20      -0.487094      0.0070049
         1        10        21      -0.510878       0.006844
         1        10        22      -0.598052     0.00697348
         1        10        23      -0.583034     0.00688951
         1        10        24      -0.620293     0.00698601
         1        10        25      -0.312615     0.00687304
         1        10        26      -0.866848      0.0069399
         1        10        27       -0.48513      0.0068823
         1        10        28      -0.751145     0.00696228
         1        10        29      -0.633161     0.00682693
         1        10        30      -0.617258     0.00700787
         1        10        31      -0.619782     0.00687852
         1        11         0       -0.36815     0.00666821
         1        11         1      -0.305772     0.00712645
