*Tele   CsI  Peak     Voltage     Channel
2 0  71 3.04 3385.1
2 0  72 3.089 3434.6
2 0  73 3.138 3484.1
2 0  74 3.187 3533.8
2 0  75 3.236 3584.1
2 0  76 3.285 3633.5
2 0  77 3.334 3683.1
2 0  78 3.383 3733.3
2 0  79 3.432 3782.6
2 0  80 3.481 3830.9
2 0  81 3.53 3878
2 0  82 3.579 3923.2
2 0  83 3.628 3964.5
2 1  1 0.01 95.864
2 1  2 0.019 104.878
2 1  3 0.028 114.58
2 1  4 0.037 124.104
2 1  5 0.046 134.026
2 1  6 0.055 142.898
2 1  7 0.064 152.849
2 1  8 0.073 163.148
2 1  9 0.082 173.4
2 1  10 0.091 183.644
2 1  11 0.1 194
2 1  12 0.149 249
2 1  13 0.198 303.8
2 1  14 0.247 358.2
2 1  15 0.296 412.5
2 1  16 0.345 467.5
2 1  17 0.394 522.2
2 1  18 0.443 576.7
2 1  19 0.492 631.3
2 1  20 0.541 685.6
2 1  21 0.59 740.2
2 1  22 0.639 795.6
2 1  23 0.688 849.9
2 1  24 0.737 904.4
2 1  25 0.786 958.6
2 1  26 0.835 1013
2 1  27 0.884 1067.6
2 1  28 0.933 1122.1
2 1  29 0.982 1176
2 1  30 1.031 1229.3
2 1  31 1.08 1282.4
2 1  32 1.129 1335.2
2 1  33 1.178 1388
2 1  34 1.227 1439.5
2 1  35 1.276 1490.5
2 1  36 1.325 1540.8
2 1  37 1.374 1591.7
2 1  38 1.423 1641.1
2 1  39 1.472 1690.2
2 1  40 1.521 1739.1
2 1  41 1.57 1788.6
2 1  42 1.619 1836.6
2 1  43 1.668 1884.6
2 1  44 1.717 1933.1
2 1  45 1.766 1980.6
2 1  46 1.815 2028
2 1  47 1.864 2075.2
2 1  48 1.913 2123.4
2 1  49 1.962 2170.4
2 1  50 2.011 2217.3
2 1  51 2.06 2265.2
2 1  52 2.109 2312
2 1  53 2.158 2358.7
2 1  54 2.207 2405.5
2 1  55 2.256 2453.1
2 1  56 2.305 2499.6
2 1  57 2.354 2546.1
2 1  58 2.403 2593.7
2 1  59 2.452 2640.1
2 1  60 2.501 2686.8
2 1  61 2.55 2733.6
2 1  62 2.599 2780.5
2 1  63 2.648 2826.8
2 1  64 2.697 2873.3
2 1  65 2.746 2920.6
2 1  66 2.795 2966.7
2 1  67 2.844 3012.9
2 1  68 2.893 3060.3
2 1  69 2.942 3106.8
2 1  70 2.991 3153
2 1  71 3.04 3200.1
2 1  72 3.089 3246.4
2 1  73 3.138 3292.6
2 1  74 3.187 3338.6
2 1  75 3.236 3385.9
2 1  76 3.285 3431.9
2 1  77 3.334 3478
2 1  78 3.383 3525.1
2 1  79 3.432 3571.3
2 1  80 3.481 3617.4
2 1  81 3.53 3664.6
2 1  82 3.579 3710.5
2 1  83 3.628 3756.6
2 1  84 3.677 3802.1
2 1  85 3.726 3848.9
2 1  86 3.775 3894.7
2 1  87 3.824 3940.4
2 1  88 3.873 3987.1
2 2  1 0.01 64.408
2 2  2 0.019 72.975
2 2  3 0.028 83.172
2 2  4 0.037 93.145
2 2  5 0.046 103.353
2 2  6 0.055 113.589
2 2  7 0.064 124.062
2 2  8 0.073 134.333
2 2  9 0.082 144.305
2 2  10 0.091 154.956
2 2  11 0.1 165.5
2 2  12 0.149 222.9
2 2  13 0.198 279.8
2 2  14 0.247 336.7
2 2  15 0.296 394.5
2 2  16 0.345 451.3
2 2  17 0.394 508.1
2 2  18 0.443 564.8
2 2  19 0.492 621.7
2 2  20 0.541 678.5
2 2  21 0.59 735.4
2 2  22 0.639 793.1
2 2  23 0.688 849.9
2 2  24 0.737 906.6
2 2  25 0.786 963.2
2 2  26 0.835 1020
2 2  27 0.884 1076.5
2 2  28 0.933 1133.7
2 2  29 0.982 1190.1
2 2  30 1.031 1245.8
2 2  31 1.08 1301.3
2 2  32 1.129 1356.1
2 2  33 1.178 1410.4
2 2  34 1.227 1465.2
2 2  35 1.276 1518.3
2 2  36 1.325 1570.8
2 2  37 1.374 1622.9
2 2  38 1.423 1674.5
2 2  39 1.472 1726.8
2 2  40 1.521 1777.7
2 2  41 1.57 1828.1
2 2  42 1.619 1878.4
2 2  43 1.668 1929.4
2 2  44 1.717 1979
2 2  45 1.766 2028.5
2 2  46 1.815 2078
2 2  47 1.864 2128.3
2 2  48 1.913 2177.5
2 2  49 1.962 2226.6
2 2  50 2.011 2275.4
2 2  51 2.06 2325.3
2 2  52 2.109 2374.1
2 2  53 2.158 2422.8
2 2  54 2.207 2471.4
2 2  55 2.256 2520.9
2 2  56 2.305 2569.5
2 2  57 2.354 2618
2 2  58 2.403 2667.3
2 2  59 2.452 2716
2 2  60 2.501 2764.7
2 2  61 2.55 2812.8
2 2  62 2.599 2862.1
2 2  63 2.648 2910.4
2 2  64 2.697 2958.6
2 2  65 2.746 3006.8
2 2  66 2.795 3056
2 2  67 2.844 3104.2
2 2  68 2.893 3152.5
2 2  69 2.942 3200.8
2 2  70 2.991 3250
2 2  71 3.04 3298.1
2 2  72 3.089 3346.2
2 2  73 3.138 3395.2
2 2  74 3.187 3443.2
2 2  75 3.236 3491.1
2 2  76 3.285 3539.3
2 2  77 3.334 3588.1
2 2  78 3.383 3636.1
2 2  79 3.432 3684.1
2 2  80 3.481 3732.5
2 2  81 3.53 3780.4
2 2  82 3.579 3827.3
2 2  83 3.628 3873.2
2 2  84 3.677 3919.3
2 2  85 3.726 3964.4
2 3  1 0.01 90.953
2 3  2 0.019 100.148
2 3  3 0.028 109.817
2 3  4 0.037 119.474
2 3  5 0.046 129.406
2 3  6 0.051 134.5
2 3  7 0.055 138.336
2 3  8 0.064 148.439
2 3  9 0.073 158.697
2 3  10 0.082 168.934
2 3  11 0.091 179.318
