*    FB  Tele Strip  Intertcept   	Slope
     1     9    30   -0.471639    0.00684684
     1     9    31   -0.587289    0.00687588
     1    10     0   -0.774319    0.00697911
     1    10     1   -0.276449    0.00697144
     1    10     2   -0.509896    0.00702703
     1    10     3   -0.331177    0.00687925
     1    10     4   -0.476207    0.00702253
     1    10     5   -0.279508    0.00694998
     1    10     6   -0.603577    0.00703234
     1    10     7   -0.368288    0.00691338
     1    10     8   -0.613576    0.00700618
     1    10     9   -0.551658    0.00689824
     1    10    10   -0.663575    0.00703102
     1    10    11   -0.547965    0.00687440
     1    10    12   -0.619624    0.00704907
     1    10    13   -0.330369    0.00693909
     1    10    14   -0.884681    0.00699043
     1    10    15   -0.378762    0.00688608
     1    10    16   -0.477443    0.00703594
     1    10    17   -0.510474    0.00689345
     1    10    18   -0.707766    0.00695951
     1    10    19   -0.438904    0.00689766
     1    10    20   -0.474060    0.00698660
     1    10    21   -0.530944    0.00685537
     1    10    22   -0.606895    0.00697606
     1    10    23   -0.597448    0.00689722
     1    10    24   -0.614737    0.00697588
     1    10    25   -0.338700    0.00689323
