*telescope      Si num    F(1)B(0)      Intercept            Slope  SaturationPoint    Para_constant      Para_Linear   Para_quadratic         CHI2dof
        11          26           1        96.9418          3.84041             1200               -1               -1               -1         0.174157
        11          27           1        101.528           3.7729          1525.23               -1               -1               -1          1.16298
        11          28           1       -21.5429          3.81864             1200               -1               -1               -1         0.302639
        11          29           1        60.2767          3.85316             1200               -1               -1               -1         0.408524
        11          30           1       -12.4402           3.7952          1501.98               -1               -1               -1         0.187509
        11          31           1        103.224          3.80908             1200               -1               -1               -1         0.267042
         0           0           0        202.976          3.87409          1501.05               -1               -1               -1         0.273863
         0           1           0        137.595          3.84765          1511.58               -1               -1               -1         0.127059
         0           2           0        166.013          3.85977             1200               -1               -1               -1        0.0992271
         0           3           0        129.887          3.84003             1200               -1               -1               -1        0.0518061
         0           4           0        110.633          3.84108          1501.06               -1               -1               -1        0.0933363
         0           5           0        116.366          3.86212             1200               -1               -1               -1        0.0624229
         0           6           0        147.486          3.78912          1504.99               -1               -1               -1         0.302497
         0           7           0        164.705          3.84609             1200               -1               -1               -1        0.0370117
         0           8           0        163.547          3.81544          1500.99               -1               -1               -1        0.0910239
         0           9           0        133.944          3.86819             1200               -1               -1               -1        0.0626124
         0          10           0         146.79          3.83768          1503.32               -1               -1               -1          0.15649
